"要する","Yêu cầu, đòi hỏi","校長は丸二日を<u>要し</u>、全校生徒との面談を終えた。","ようする","y"
"優先する","Ưu tiên","何を優先するかは、その人が何を一番大事にしているかによって決まる。","ゆうせんする","y"
"臨む","Nhìn ra, hướng ra...<br>Đối mặt<br>Đối xử","1. 週末はよく近くの湖の<u>臨み</u>にある喫茶店で、友人とお茶を飲む。	<br>2.どれだけ準備をして本番に<u>臨んでも</u>、失敗するときは失敗する。	<br>3. 突然友人の死に<u>臨み</u>、未だに立ち直ることができない。<br>4. 彼はどんな人にでも同じような態度で<u>臨む</u>。","のぞむ","y"
"導く","Chỉ dẫn, dẫn lối<br>Chỉ bảo<br>Dẫn đường","1. 駅伝ではバイクに乗った警察官が、選手をゴールまで導く。	<br>2. 子を正しい道へ導くことは、親の義務だと思う。<br>3. 彼は勝利へ導く貴重な先制点を決めた。","みちびく","y"
"しぼむ","Héo, teo lại <br>Tiêu tan","1. 先日買ったひまわりに水を上げ忘れてしまい、花が<u>しぼんで</u>しまった。<br>2. このサッカーボールは空気を入れても、すぐ<u>しぼんで</u>しまう。","しぼむ","y"
"浸る","Ngâm, thả mình vào <br>Đắm chìm trong","1. 寝る前にぬるめのお湯にゆっくり<u>浸る</u>と、寝つきが良くなる。	<br>2. 彼はあえて自分の実力より下のクラスの授業を受ける事により、優越感に<u>浸って</u>いる。","ひたる","y"
"浸す","Nhúng, ngâm","1. 冷凍肉をしばらく水に<u>浸し</u>、解凍する。	<br>2. スタジアムの雰囲気が選手たちの心を<u>浸した</u>。","ひたす","y"
"盛る","Đổ đầy, dọn đồ ăn (lên bát đĩa), chất đống <br>盛り込む: bao gồm, kết hợp cả...","1. ごはんを盛るときは、粒をつぶさぬよう、ふんわり盛ったほうがいい。	<br>2. この企画は多くの人の意見を<u>盛り</u>込みすぎて、まとまりがなくなっている。","もる","y"
"なす","Hình thành<br>(Không) đạt được, đáp ứng được<br>Làm","1. 生物は生存確率を高めるため群れを成す。	<br>2. この文型は肯定の意味をなさず、否定の意味をなす。<br>3. 赤字回復にありとあらゆる手を尽くしたが、もうなす術がない。","","y"
"担う","Gánh vác, đảm đương","1. アルバイトだからと言って、責任を<u>担わない</u>わけではない。	<br>2. 彼は将来日本の未来を<u>担って</u>いくような人材だ。	<br>3. 町の男たちがみこしを肩に<u>担って</u>、掛け声を出しながら歩いている。","になう","y"
"背く","Làm trái với, không tuân theo <br>Phản bội lại","1. あなたは私の忠告を<u>背いた</u>ので、痛い目を見た。	<br>2. 私は親の期待に<u>背き</u>、医者になる夢を諦めた。","そむく","y"
"帯びる","Có pha chút, có chút<br>Được giao phó, đảm đương","1. ベトナムのワールドカップ初出場が現実味を<u>帯びて</u>きた。	<br>2. 上司から海外出張の使命を<u>帯び</u>、タイで働くことが決まった。","おびる","y"
"栄える","Phồn vinh","この国はインフラの発展とともに、急速に<u>栄えた</u>。","さかえる","y"
"溶け込む","Hoà nhập<br>Tan chảy, hoà tan vào","1. 彼は途中から加入したにもかかわらず、すぐチームに<u>溶け込んだ</u>。	<br>2. この水は透明だが、有害物質が<u>溶け込んで</u>いるので間違えて飲んだら大変なことになる。","とけこむ","y"
"たるむ","Lỏng, chảy xệ, chùng xuống","彼のお母さんはもう５０歳になるのに、全く皮膚が<u>たるまず</u>まるで２０代のように若々しい肌だ。","","y"
"匹敵する","Sánh ngang với..., cạnh tranh được với...","あの新入部員は攻撃の能力だけなら、部長にも匹敵する。","ひってき","y"
"さえる","(Sáng) rõ, rõ ràng, trong trẻo<br>(Mắt) thao láo, (Tay nghề) thành thạo <br>Tươi tỉnh, sáng sủa","1. 彼の<u>さえた</u>ギターの演奏が会場中に響き渡った。	<br>2. たくさん寝たせいか今日は頭が<u>冴えて</u>いるので、いつもより仕事がはかどる。<br>3. 彼はチームが勝利したのに、なぜか<u>さえない</u>顔をしている。","","y"
"出回る","Xuất hiện trên thị trường","1. そろそろ脂が乗ったさんまが<u>出回る</u>季節だ。	<br>2. この国では偽物のブランドの服が多く<u>出回って</u>いる。","でまわる","y"
"陥る","Rơi vào","1. 前の試合の些細なミスがきっかけで、スランプに<u>陥った</u>。	<br>2. 地震が起きて混乱状態に陥っている。","おちいる","y"
"富む","Giàu","1. この国は四季があり、変化に<u>富んだ</u>景色を見せてくれる。	<br>2. 彼の演説は知識に<u>富んで</u>いるので、思わず聞き入ってしまう。","とむ","y"
"設ける","Thiết lập, đặt ra, có (con)","1. 私の会社に近々、新たな部署が<u>設けられる</u>らしい。	<br>2. 我が校は定期的に、保護者と学校側による話し合いの場を<u>設けて</u>いる。	<br>3. アメリカは州によって、異なる規則を<u>設けて</u>いる。","もうける","y"
"催す","Tổ chức, cảm thấy","1. 来月退職される先輩のために、送別会が<u>催された</u>。	<br>2. 運転中突然眠気を<u>催し</u>、危うく事故を起こすところだった。","もよおす","y"
"損なう","Làm tổn hại","兄の機嫌を<u>損なう</u>と面倒くさいので、いつも気を使っている。","そこなう","y"
"免れる","Né tránh, tránh khỏi, thoát","1. 交通事故にあったが、なんとか命の危機は免れることができた。	<br>2. これだけ多くの証拠がそろっていれば、罪を免れることはできないだろう。","まぬがれる","y"
"鈍る","Tù đi, kém đi, cùn đi","1.しっかり管理しないと、包丁の切れ味はすぐ<u>鈍って</u>しまう。	<br>2. 開店したては良かったが、だんだん客足が<u>鈍って</u>きた。","にぶる","y"
